Chakra,Endocrine gland,Associated hormones,EM Field Frequency,Effect on the Human EM Field,Human EMF,Chakras,Earth's EMF,Ki,Aura,Human Aura Layers,Chakra Connection To Body,Season,,,Ki
Chakras,432 Hz to 852 Hz,Energy centers that regulate the flow of energy in the body.,,Emotional aura: The emotional aura is the second layer of the aura and is associated with our emotions.,Ki flows through the emotional aura to help us process and express our emotions in a healthy way.,The emotional aura is located outside of the physical aura and extends about 2 feet out from the body. It is associated with our emotions and feelings.,,Summer,"The human electromagnetic field remains strong during summer, but it may become more erratic due to the increased heat and humidity.","The heart chakra, throat chakra, and third eye chakra are all particularly active during summer.","The human aura is thought to be influenced by a variety of factors, including our thoughts, emotions, physical health, and the environment around us.",,,,
Auras,300 Hz to 700 Hz,"Energy field that surrounds the body and reflects our physical, emotional, and spiritual state.",,Mental aura: The mental aura is the third layer of the aura and is associated with our thoughts and beliefs.,Ki flows through the mental aura to help us focus and concentrate. It also helps us to develop our intuition and creativity.,The mental aura is located outside of the emotional aura and extends about 3 feet out from the body. It is associated with our thoughts and ideas.,,Autumn,The human electromagnetic field begins to weaken during autumn.,"The crown chakra is particularly active during autumn, as we prepare for the winter season.","The human aura is thought to play a role in our overall health and well-being. When the aura is balanced, we are more likely to be healthy and happy.",,,,
Earth's EM field,7.83 Hz,"Schumann resonance, which is thought to support life on Earth.",,Spiritual aura: The spiritual aura is the outermost layer of the aura and is associated with our higher selves and our connection to the divine.,Ki flows through the spiritual aura to help us to grow and evolve spiritually.,The spiritual aura is the outermost layer of the aura and extends about 6 feet out from the body. It is associated with our spiritual connection to the universe.,,Winter,The human electromagnetic field is at its weakest during winter.,"The root chakra and sacral chakra are particularly active during winter, as we seek to ground ourselves and preserve our energy.",,,,,
,,,,,,,,,,,,,,,
Moon Phase,Human Electromagnetic Field,Auras and Chakras,,,,,,,,,,,,,
New Moon,The human electromagnetic field is at its weakest during the new moon.,"The chakras are less active during the new moon, making it a good time for rest and introspection.",,,,,,,,,,,,,
Waxing Crescent Moon,The human electromagnetic field begins to strengthen during the waxing crescent moon.,"The chakras begin to open and activate during the waxing crescent moon, making it a good time for new beginnings and growth.",,,,,,,,,,,,,
First Quarter Moon,The human electromagnetic field is at its strongest during the first quarter moon.,"The chakras are fully open and active during the first quarter moon, making it a good time for action and manifestation.",,,,,,,,,,,,,
Waxing Gibbous Moon,The human electromagnetic field continues to strengthen during the waxing gibbous moon.,"The chakras are fully active and aligned during the waxing gibbous moon, making it a good time for creativity and self-expression.",,,,,,,,,,,,,
Full Moon,The human electromagnetic field is at its strongest and most erratic during the full moon.,"The chakras are overactive during the full moon, which can lead to emotional imbalances. It is important to ground and center yourself during the full moon.",,,,,,,,,,,,,
Waning Gibbous Moon,The human electromagnetic field begins to weaken during the waning gibbous moon.,"The chakras begin to close and slow down during the waning gibbous moon, making it a good time for reflection and release.",,,,,,,,,,,,,
Last Quarter Moon,The human electromagnetic field is at its weakest during the last quarter moon.,"The chakras are closed and dormant during the last quarter moon, making it a good time for rest and integration.",,,,,,,,,,,,,
Waning Crescent Moon,The human electromagnetic field continues to weaken during the waning crescent moon.,"The chakras remain closed and dormant during the waning crescent moon, making it a good time for closure and letting go.",,,,,,,,,,,,,
